global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss,auroc,auprc,classification_report
114,86,40,6,5,0.8191333280758782,0.960235595703125,0.22150336361179748,0.9718107978977544,0.9854252356583882,"              precision    recall  f1-score   support

         0.0       0.89      0.87      0.88        46
         1.0       0.93      0.95      0.94        91

    accuracy                           0.92       137
   macro avg       0.91      0.91      0.91       137
weighted avg       0.92      0.92      0.92       137
"
228,87,33,13,4,0.7162994238491357,0.7333625555038452,0.28742194755209816,0.9610606784519828,0.9839030534542355,"              precision    recall  f1-score   support

         0.0       0.89      0.72      0.80        46
         1.0       0.87      0.96      0.91        91

    accuracy                           0.88       137
   macro avg       0.88      0.84      0.85       137
weighted avg       0.88      0.88      0.87       137
"
342,88,37,9,3,0.8012214549307184,0.860743522644043,0.2571643581872599,0.9593884376493071,0.9789011797687501,"              precision    recall  f1-score   support

         0.0       0.93      0.80      0.86        46
         1.0       0.91      0.97      0.94        91

    accuracy                           0.91       137
   macro avg       0.92      0.89      0.90       137
weighted avg       0.91      0.91      0.91       137
"
456,74,45,1,17,0.7509228978300495,1.521580457687378,0.4525276527197598,0.9808886765408504,0.9907675728220845,"              precision    recall  f1-score   support

         0.0       0.73      0.98      0.83        46
         1.0       0.99      0.81      0.89        91

    accuracy                           0.87       137
   macro avg       0.86      0.90      0.86       137
weighted avg       0.90      0.87      0.87       137
"
570,79,44,2,12,0.7921996607728021,0.005812743213027716,0.44844357371645555,0.9713330148112757,0.9869924396249509,"              precision    recall  f1-score   support

         0.0       0.79      0.96      0.86        46
         1.0       0.98      0.87      0.92        91

    accuracy                           0.90       137
   macro avg       0.88      0.91      0.89       137
weighted avg       0.91      0.90      0.90       137
"
684,83,43,3,8,0.8273367459745722,5.8410623751115054e-05,0.41074744551042386,0.968944099378882,0.9847012606670865,"              precision    recall  f1-score   support

         0.0       0.84      0.93      0.89        46
         1.0       0.97      0.91      0.94        91

    accuracy                           0.92       137
   macro avg       0.90      0.92      0.91       137
weighted avg       0.92      0.92      0.92       137
"
798,82,43,3,9,0.8134543685276568,5.455608697957359e-05,0.5694573099323558,0.9675107501194458,0.9821569054586012,"              precision    recall  f1-score   support

         0.0       0.83      0.93      0.88        46
         1.0       0.96      0.90      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.92      0.90       137
weighted avg       0.92      0.91      0.91       137
"
912,81,42,4,10,0.7816043403801035,0.0003049093356821686,0.7086017528081356,0.9604634495938844,0.9811693332279791,"              precision    recall  f1-score   support

         0.0       0.81      0.91      0.86        46
         1.0       0.95      0.89      0.92        91

    accuracy                           0.90       137
   macro avg       0.88      0.90      0.89       137
weighted avg       0.90      0.90      0.90       137
"
1026,80,43,3,11,0.7865685822203473,8.0141267972067e-05,0.753004224079834,0.9650023889154324,0.9835143270241691,"              precision    recall  f1-score   support

         0.0       0.80      0.93      0.86        46
         1.0       0.96      0.88      0.92        91

    accuracy                           0.90       137
   macro avg       0.88      0.91      0.89       137
weighted avg       0.91      0.90      0.90       137
"
1140,82,43,3,9,0.8134543685276568,1.6212316040764563e-05,0.7031062815540281,0.9660774008600095,0.982241259516,"              precision    recall  f1-score   support

         0.0       0.83      0.93      0.88        46
         1.0       0.96      0.90      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.92      0.90       137
weighted avg       0.92      0.91      0.91       137
"
1254,81,43,3,10,0.7998699633724077,1.8000389900407754e-05,0.7703961133482962,0.9679885332059245,0.9843273586870303,"              precision    recall  f1-score   support

         0.0       0.81      0.93      0.87        46
         1.0       0.96      0.89      0.93        91

    accuracy                           0.91       137
   macro avg       0.89      0.91      0.90       137
weighted avg       0.91      0.91      0.91       137
"
1368,79,44,2,12,0.7921996607728021,1.8278477000421844e-05,0.8178300515226814,0.9694218824653607,0.9858027912876066,"              precision    recall  f1-score   support

         0.0       0.79      0.96      0.86        46
         1.0       0.98      0.87      0.92        91

    accuracy                           0.90       137
   macro avg       0.88      0.91      0.89       137
weighted avg       0.91      0.90      0.90       137
"
1482,80,44,2,11,0.8050668092317734,2.9007065677433275e-05,0.8155864308382156,0.968944099378882,0.9856423449180591,"              precision    recall  f1-score   support

         0.0       0.80      0.96      0.87        46
         1.0       0.98      0.88      0.92        91

    accuracy                           0.91       137
   macro avg       0.89      0.92      0.90       137
weighted avg       0.92      0.91      0.91       137
"
1596,80,44,2,11,0.8050668092317734,2.1973935872665606e-05,0.8187712399905851,0.9681079789775442,0.9852086745204378,"              precision    recall  f1-score   support

         0.0       0.80      0.96      0.87        46
         1.0       0.98      0.88      0.92        91

    accuracy                           0.91       137
   macro avg       0.89      0.92      0.90       137
weighted avg       0.92      0.91      0.91       137
"
1710,80,44,2,11,0.8050668092317734,2.8251755793462507e-05,0.8204193164053524,0.9683468705207836,0.9852488653707623,"              precision    recall  f1-score   support

         0.0       0.80      0.96      0.87        46
         1.0       0.98      0.88      0.92        91

    accuracy                           0.91       137
   macro avg       0.89      0.92      0.90       137
weighted avg       0.92      0.91      0.91       137
"
