global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss,auroc,auprc,classification_report
114,78,39,7,13,0.6860542559374436,0.5858595371246338,0.32479292568233276,0.9531772575250836,0.977475002171289,"              precision    recall  f1-score   support

         0.0       0.75      0.85      0.80        46
         1.0       0.92      0.86      0.89        91

    accuracy                           0.85       137
   macro avg       0.83      0.85      0.84       137
weighted avg       0.86      0.85      0.86       137
"
228,91,0,46,0,0.0,0.3780573308467865,0.43898669050799477,0.8662207357859532,0.9400123092792145,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
342,70,43,3,21,0.6663909750793457,0.0029376065358519554,0.4113229718964754,0.9316770186335405,0.9631522173661211,"              precision    recall  f1-score   support

         0.0       0.67      0.93      0.78        46
         1.0       0.96      0.77      0.85        91

    accuracy                           0.82       137
   macro avg       0.82      0.85      0.82       137
weighted avg       0.86      0.82      0.83       137
"
456,52,38,8,39,0.37838396361337184,0.5254878997802734,0.5644517747892274,0.809483994266603,0.865782120953879,"              precision    recall  f1-score   support

         0.0       0.49      0.83      0.62        46
         1.0       0.87      0.57      0.69        91

    accuracy                           0.66       137
   macro avg       0.68      0.70      0.65       137
weighted avg       0.74      0.66      0.66       137
"
570,91,0,46,0,0.0,0.6331090331077576,0.6290852526823679,0.3964405160057334,0.633684921879134,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
684,91,0,46,0,0.0,0.718614935874939,0.6466536786821153,0.6133540372670808,0.7549658741122391,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
798,85,15,31,6,0.34102767624444563,0.3043077886104584,0.6338419367869695,0.6365265169612996,0.6898839930275456,"              precision    recall  f1-score   support

         0.0       0.71      0.33      0.45        46
         1.0       0.73      0.93      0.82        91

    accuracy                           0.73       137
   macro avg       0.72      0.63      0.63       137
weighted avg       0.73      0.73      0.70       137
"
912,59,45,1,32,0.5964550099506456,0.5454106330871582,0.4525522266307639,0.828356426182513,0.9233514926141511,"              precision    recall  f1-score   support

         0.0       0.58      0.98      0.73        46
         1.0       0.98      0.65      0.78        91

    accuracy                           0.76       137
   macro avg       0.78      0.81      0.76       137
weighted avg       0.85      0.76      0.76       137
"
1026,50,44,2,41,0.49239678552202837,0.4154561161994934,0.5032220764292611,0.7872670807453415,0.9088906568106939,"              precision    recall  f1-score   support

         0.0       0.52      0.96      0.67        46
         1.0       0.96      0.55      0.70        91

    accuracy                           0.69       137
   macro avg       0.74      0.75      0.69       137
weighted avg       0.81      0.69      0.69       137
"
1140,62,44,2,29,0.6037542936755526,0.004380435682833195,0.355606129561137,0.8841376015289059,0.9495331068717496,"              precision    recall  f1-score   support

         0.0       0.60      0.96      0.74        46
         1.0       0.97      0.68      0.80        91

    accuracy                           0.77       137
   macro avg       0.79      0.82      0.77       137
weighted avg       0.85      0.77      0.78       137
"
1254,84,29,17,7,0.5939015852643703,0.2579088807106018,0.34580477932468057,0.9331103678929766,0.9695528489632768,"              precision    recall  f1-score   support

         0.0       0.81      0.63      0.71        46
         1.0       0.83      0.92      0.87        91

    accuracy                           0.82       137
   macro avg       0.82      0.78      0.79       137
weighted avg       0.82      0.82      0.82       137
"
1368,79,40,6,12,0.717904284084997,0.0651945173740387,0.2886391474554936,0.9558050645007166,0.980289614469602,"              precision    recall  f1-score   support

         0.0       0.77      0.87      0.82        46
         1.0       0.93      0.87      0.90        91

    accuracy                           0.87       137
   macro avg       0.85      0.87      0.86       137
weighted avg       0.88      0.87      0.87       137
"
1482,76,44,2,15,0.7550567335253173,1.9510042667388916,0.31836887875882286,0.9252269469660774,0.9509436263566602,"              precision    recall  f1-score   support

         0.0       0.75      0.96      0.84        46
         1.0       0.97      0.84      0.90        91

    accuracy                           0.88       137
   macro avg       0.86      0.90      0.87       137
weighted avg       0.90      0.88      0.88       137
"
1596,79,42,4,12,0.7549396136954903,0.011228073388338089,0.38804458019634086,0.9555661729574774,0.9760239653868474,"              precision    recall  f1-score   support

         0.0       0.78      0.91      0.84        46
         1.0       0.95      0.87      0.91        91

    accuracy                           0.88       137
   macro avg       0.86      0.89      0.87       137
weighted avg       0.89      0.88      0.89       137
"
1710,79,42,4,12,0.7549396136954903,0.0323871411383152,0.4023938718665805,0.9013377926421404,0.9132092387222374,"              precision    recall  f1-score   support

         0.0       0.78      0.91      0.84        46
         1.0       0.95      0.87      0.91        91

    accuracy                           0.88       137
   macro avg       0.86      0.89      0.87       137
weighted avg       0.89      0.88      0.89       137
"
