global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss,auroc,auprc,classification_report
114,0,46,0,91,0.0,0.7511862516403198,0.6965647406048245,0.52269469660774,0.6845454210881433,"              precision    recall  f1-score   support

         0.0       0.34      1.00      0.50        46
         1.0       0.00      0.00      0.00        91

    accuracy                           0.34       137
   macro avg       0.17      0.50      0.25       137
weighted avg       0.11      0.34      0.17       137
"
228,91,0,46,0,0.0,0.46689972281455994,0.6287445343203015,0.4341853798375538,0.6283893046386335,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
342,91,0,46,0,0.0,0.8397607803344727,0.6304073731104533,0.4851887243191591,0.6430209511910044,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
456,91,0,46,0,0.0,0.690664529800415,0.6702904287311766,0.510989010989011,0.6689844556569383,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
570,91,0,46,0,0.0,0.29370182752609253,0.6387648234764735,0.48279980888676544,0.661258453451911,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
684,91,0,46,0,0.0,0.34828299283981323,0.6273969991339577,0.5093167701863355,0.6808276245260496,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
798,91,0,46,0,0.0,0.8522488474845886,0.6286662121613821,0.654562828475872,0.7972474888317865,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
912,91,0,46,0,0.0,0.33026358485221863,0.6294616245561175,0.5863592928810321,0.7347817076346334,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
1026,91,0,46,0,0.0,0.6368323564529419,0.6285097946723303,0.5593645484949833,0.7279894440543255,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
1140,91,0,46,0,0.0,1.0508701801300049,0.6431687755717171,0.5354753941710464,0.6822547907427992,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
1254,91,0,46,0,0.0,0.6378190517425537,0.6268671635124419,0.5097945532728142,0.6820704462045011,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
1368,91,0,46,0,0.0,0.9128549098968506,0.6267876426378886,0.4816053511705685,0.6731860632178286,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
1482,91,0,46,0,0.0,0.6365422010421753,0.6267624066935645,0.5015527950310559,0.6661802766472515,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
1596,91,0,46,0,0.0,0.8475279808044434,0.6282795319954554,0.39787386526516966,0.5996942261448205,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
1710,91,0,46,0,0.0,0.8642308712005615,0.6270403679874208,0.5101528905876732,0.700721335475557,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
