global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss,auroc,auprc,classification_report
114,0,45,1,91,-0.12060694758440162,1.7171874046325684,1.705134196413888,0.1649546106067845,0.5132073076663373,"              precision    recall  f1-score   support

         0.0       0.33      0.98      0.49        46
         1.0       0.00      0.00      0.00        91

    accuracy                           0.33       137
   macro avg       0.17      0.49      0.25       137
weighted avg       0.11      0.33      0.17       137
"
228,91,0,46,0,0.0,0.8483079671859741,0.6282815171612633,0.6882465360726231,0.8222491280380284,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
342,91,0,46,0,0.0,0.6668356657028198,0.6521629699402385,0.6932632584806497,0.7644682832242337,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
456,91,0,46,0,0.0,0.763336181640625,0.644426186879476,0.9406354515050167,0.968001225679311,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
570,91,0,46,0,0.0,0.2238735556602478,0.6232091238101324,0.6061872909698998,0.7400408879803446,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
684,91,0,46,0,0.0,0.8732125759124756,0.6264709797170427,0.37422360248447206,0.6115931935242378,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
798,91,0,46,0,0.0,1.034759283065796,0.6345521542761061,0.5722646918299092,0.6982654755487228,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
912,91,0,46,0,0.0,0.6401934623718262,0.6309503151310815,0.5752508361204013,0.7164241128026474,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
1026,91,0,46,0,0.0,0.9933447241783142,0.6351746055814955,0.6657907310081224,0.7615546949361651,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
1140,91,0,46,0,0.0,0.3789755702018738,0.6319364342424605,0.43036311514572384,0.6478968985382891,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
1254,46,44,2,45,0.45734215700412123,0.40164539217948914,0.589284997433424,0.883301481127568,0.9371730617002529,"              precision    recall  f1-score   support

         0.0       0.49      0.96      0.65        46
         1.0       0.96      0.51      0.66        91

    accuracy                           0.66       137
   macro avg       0.73      0.73      0.66       137
weighted avg       0.80      0.66      0.66       137
"
1368,91,0,46,0,0.0,0.7413033246994019,0.5488247358136706,0.8865265169612996,0.9310567050099552,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
1482,89,27,19,2,0.6531616182815028,1.2631841897964478,0.5345842427470617,0.9482799808886765,0.9719573037001906,"              precision    recall  f1-score   support

         0.0       0.93      0.59      0.72        46
         1.0       0.82      0.98      0.89        91

    accuracy                           0.85       137
   macro avg       0.88      0.78      0.81       137
weighted avg       0.86      0.85      0.84       137
"
1596,75,43,3,16,0.723842861318628,0.056254830211400986,0.3125401318280233,0.9626134734830387,0.9815150107764936,"              precision    recall  f1-score   support

         0.0       0.73      0.93      0.82        46
         1.0       0.96      0.82      0.89        91

    accuracy                           0.86       137
   macro avg       0.85      0.88      0.85       137
weighted avg       0.88      0.86      0.86       137
"
1710,78,43,3,13,0.760759523598447,0.29313093423843384,0.2977174234110862,0.9681079789775443,0.984560449856962,"              precision    recall  f1-score   support

         0.0       0.77      0.93      0.84        46
         1.0       0.96      0.86      0.91        91

    accuracy                           0.88       137
   macro avg       0.87      0.90      0.88       137
weighted avg       0.90      0.88      0.89       137
"
