global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss,auroc,auprc,classification_report
114,84,41,5,7,0.8061424060119179,0.04223887249827385,0.2093548670721551,0.9608217869087434,0.9844032389887396,"              precision    recall  f1-score   support

         0.0       0.85      0.89      0.87        46
         1.0       0.94      0.92      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.91      0.90       137
weighted avg       0.91      0.91      0.91       137
"
228,84,44,2,7,0.8593099855228138,0.004457205068320036,0.1739244468723579,0.9724080267558527,0.9877177482302997,"              precision    recall  f1-score   support

         0.0       0.86      0.96      0.91        46
         1.0       0.98      0.92      0.95        91

    accuracy                           0.93       137
   macro avg       0.92      0.94      0.93       137
weighted avg       0.94      0.93      0.94       137
"
342,87,43,3,4,0.886181312784582,0.006789585575461388,0.20366502185222796,0.9701385570950787,0.9870655741932095,"              precision    recall  f1-score   support

         0.0       0.91      0.93      0.92        46
         1.0       0.97      0.96      0.96        91

    accuracy                           0.95       137
   macro avg       0.94      0.95      0.94       137
weighted avg       0.95      0.95      0.95       137
"
456,84,43,3,7,0.8415330261848569,0.001382668036967516,0.2462899840449811,0.9682274247491639,0.9846682209228417,"              precision    recall  f1-score   support

         0.0       0.86      0.93      0.90        46
         1.0       0.97      0.92      0.94        91

    accuracy                           0.93       137
   macro avg       0.91      0.93      0.92       137
weighted avg       0.93      0.93      0.93       137
"
570,86,45,1,5,0.9057435661945062,0.002223091432824731,0.2768023349514503,0.9601051122790252,0.9799896187037425,"              precision    recall  f1-score   support

         0.0       0.90      0.98      0.94        46
         1.0       0.99      0.95      0.97        91

    accuracy                           0.96       137
   macro avg       0.94      0.96      0.95       137
weighted avg       0.96      0.96      0.96       137
"
684,81,45,1,10,0.8365974418403364,0.0008534916560165584,0.4406458276518808,0.9688246536072623,0.9861496231909253,"              precision    recall  f1-score   support

         0.0       0.82      0.98      0.89        46
         1.0       0.99      0.89      0.94        91

    accuracy                           0.92       137
   macro avg       0.90      0.93      0.91       137
weighted avg       0.93      0.92      0.92       137
"
798,84,44,2,7,0.8593099855228138,0.0003437462146393955,0.4269117514344948,0.9630912565695174,0.9836551283971546,"              precision    recall  f1-score   support

         0.0       0.86      0.96      0.91        46
         1.0       0.98      0.92      0.95        91

    accuracy                           0.93       137
   macro avg       0.92      0.94      0.93       137
weighted avg       0.94      0.93      0.94       137
"
912,83,44,2,8,0.8453043966752102,0.00021131057292222977,0.4835656064921447,0.9634495938843765,0.9840790896571437,"              precision    recall  f1-score   support

         0.0       0.85      0.96      0.90        46
         1.0       0.98      0.91      0.94        91

    accuracy                           0.93       137
   macro avg       0.91      0.93      0.92       137
weighted avg       0.93      0.93      0.93       137
"
1026,83,44,2,8,0.8453043966752102,0.0006076573627069592,0.4586220141619479,0.948518872431916,0.9615670678919139,"              precision    recall  f1-score   support

         0.0       0.85      0.96      0.90        46
         1.0       0.98      0.91      0.94        91

    accuracy                           0.93       137
   macro avg       0.91      0.93      0.92       137
weighted avg       0.93      0.93      0.93       137
"
1140,82,44,2,9,0.8316053195791901,0.00035325466888025403,0.4988279488995128,0.9578356426182514,0.9820964727312159,"              precision    recall  f1-score   support

         0.0       0.83      0.96      0.89        46
         1.0       0.98      0.90      0.94        91

    accuracy                           0.92       137
   macro avg       0.90      0.93      0.91       137
weighted avg       0.93      0.92      0.92       137
"
1254,85,44,2,6,0.8736382961896816,4.021243876195513e-05,0.44510933943901265,0.952221691352126,0.9792018849330802,"              precision    recall  f1-score   support

         0.0       0.88      0.96      0.92        46
         1.0       0.98      0.93      0.96        91

    accuracy                           0.94       137
   macro avg       0.93      0.95      0.94       137
weighted avg       0.94      0.94      0.94       137
"
1368,85,44,2,6,0.8736382961896816,0.00017915104399435222,0.4776039546982752,0.9529383659818442,0.9770397594328272,"              precision    recall  f1-score   support

         0.0       0.88      0.96      0.92        46
         1.0       0.98      0.93      0.96        91

    accuracy                           0.94       137
   macro avg       0.93      0.95      0.94       137
weighted avg       0.94      0.94      0.94       137
"
1482,83,44,2,8,0.8453043966752102,0.0005080689443275332,0.5350057325834617,0.9562828475871955,0.9792714488265064,"              precision    recall  f1-score   support

         0.0       0.85      0.96      0.90        46
         1.0       0.98      0.91      0.94        91

    accuracy                           0.93       137
   macro avg       0.91      0.93      0.92       137
weighted avg       0.93      0.93      0.93       137
"
1596,83,44,2,8,0.8453043966752102,5.9523048548726365e-05,0.5345138251463545,0.9565217391304348,0.9793799217697002,"              precision    recall  f1-score   support

         0.0       0.85      0.96      0.90        46
         1.0       0.98      0.91      0.94        91

    accuracy                           0.93       137
   macro avg       0.91      0.93      0.92       137
weighted avg       0.93      0.93      0.93       137
"
1710,83,44,2,8,0.8453043966752102,6.675448821624741e-05,0.5403081933327485,0.9548494983277592,0.9776658449195529,"              precision    recall  f1-score   support

         0.0       0.85      0.96      0.90        46
         1.0       0.98      0.91      0.94        91

    accuracy                           0.93       137
   macro avg       0.91      0.93      0.92       137
weighted avg       0.93      0.93      0.93       137
"
