global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss,auroc,auprc,classification_report
114,85,42,4,6,0.8385394460892522,0.21216422319412231,0.18644934789174133,0.9751552795031057,0.989516474547168,"              precision    recall  f1-score   support

         0.0       0.88      0.91      0.89        46
         1.0       0.96      0.93      0.94        91

    accuracy                           0.93       137
   macro avg       0.92      0.92      0.92       137
weighted avg       0.93      0.93      0.93       137
"
228,86,38,8,5,0.7847580140375279,0.013088753446936607,0.33411745508783497,0.9452938365981843,0.9569100659603218,"              precision    recall  f1-score   support

         0.0       0.88      0.83      0.85        46
         1.0       0.91      0.95      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.89      0.89       137
weighted avg       0.90      0.91      0.90       137
"
342,82,45,1,9,0.8498265192700611,0.00748016033321619,0.2900051868814949,0.9756330625895844,0.9884640231298198,"              precision    recall  f1-score   support

         0.0       0.83      0.98      0.90        46
         1.0       0.99      0.90      0.94        91

    accuracy                           0.93       137
   macro avg       0.91      0.94      0.92       137
weighted avg       0.94      0.93      0.93       137
"
456,85,42,4,6,0.8385394460892522,0.0010303363669663668,0.4059850681801941,0.9715719063545151,0.9854660943885378,"              precision    recall  f1-score   support

         0.0       0.88      0.91      0.89        46
         1.0       0.96      0.93      0.94        91

    accuracy                           0.93       137
   macro avg       0.92      0.92      0.92       137
weighted avg       0.93      0.93      0.93       137
"
570,83,42,4,8,0.8094277561800323,0.0005486271693371236,0.4793831309390144,0.9751552795031055,0.987883839046171,"              precision    recall  f1-score   support

         0.0       0.84      0.91      0.87        46
         1.0       0.95      0.91      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.91      0.90       137
weighted avg       0.92      0.91      0.91       137
"
684,83,43,3,8,0.8273367459745722,7.67267556511797e-05,0.551578052691184,0.9745580506450072,0.9877030255044263,"              precision    recall  f1-score   support

         0.0       0.84      0.93      0.89        46
         1.0       0.97      0.91      0.94        91

    accuracy                           0.92       137
   macro avg       0.90      0.92      0.91       137
weighted avg       0.92      0.92      0.92       137
"
798,83,43,3,8,0.8273367459745722,3.2662730518495664e-05,0.6246137619810825,0.9747969421882465,0.9873535369043656,"              precision    recall  f1-score   support

         0.0       0.84      0.93      0.89        46
         1.0       0.97      0.91      0.94        91

    accuracy                           0.92       137
   macro avg       0.90      0.92      0.91       137
weighted avg       0.92      0.92      0.92       137
"
912,82,43,3,9,0.8134543685276568,4.875524609815329e-05,0.744868843502243,0.9738413760152892,0.9869141795647886,"              precision    recall  f1-score   support

         0.0       0.83      0.93      0.88        46
         1.0       0.96      0.90      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.92      0.90       137
weighted avg       0.92      0.91      0.91       137
"
1026,79,44,2,12,0.7921996607728021,5.741742643294856e-05,0.8237624910890291,0.9779025322503583,0.9887316306833226,"              precision    recall  f1-score   support

         0.0       0.79      0.96      0.86        46
         1.0       0.98      0.87      0.92        91

    accuracy                           0.90       137
   macro avg       0.88      0.91      0.89       137
weighted avg       0.91      0.90      0.90       137
"
1140,85,42,4,6,0.8385394460892522,1.1046666259062476e-05,0.6134208526654119,0.9752747252747253,0.9878090809832849,"              precision    recall  f1-score   support

         0.0       0.88      0.91      0.89        46
         1.0       0.96      0.93      0.94        91

    accuracy                           0.93       137
   macro avg       0.92      0.92      0.92       137
weighted avg       0.93      0.93      0.93       137
"
1254,83,42,4,8,0.8094277561800323,9.258542377210688e-06,0.7386279427382507,0.9765886287625418,0.98818307329421,"              precision    recall  f1-score   support

         0.0       0.84      0.91      0.87        46
         1.0       0.95      0.91      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.91      0.90       137
weighted avg       0.92      0.91      0.91       137
"
1368,83,42,4,8,0.8094277561800323,3.162954453728162e-05,0.7485138631549135,0.9765886287625419,0.9879726049214987,"              precision    recall  f1-score   support

         0.0       0.84      0.91      0.87        46
         1.0       0.95      0.91      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.91      0.90       137
weighted avg       0.92      0.91      0.91       137
"
1482,83,42,4,8,0.8094277561800323,2.105995918100234e-05,0.7524565845935993,0.9753941710463448,0.9869876249891504,"              precision    recall  f1-score   support

         0.0       0.84      0.91      0.87        46
         1.0       0.95      0.91      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.91      0.90       137
weighted avg       0.92      0.91      0.91       137
"
1596,83,42,4,8,0.8094277561800323,7.708837074460462e-06,0.7547100582331596,0.9758719541328236,0.9874499241848367,"              precision    recall  f1-score   support

         0.0       0.84      0.91      0.87        46
         1.0       0.95      0.91      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.91      0.90       137
weighted avg       0.92      0.91      0.91       137
"
1710,83,42,4,8,0.8094277561800323,7.112795628927415e-06,0.7554367551758282,0.9756330625895844,0.9870574595066577,"              precision    recall  f1-score   support

         0.0       0.84      0.91      0.87        46
         1.0       0.95      0.91      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.91      0.90       137
weighted avg       0.92      0.91      0.91       137
"
