global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss,auroc,auprc,classification_report
114,86,36,10,5,0.7504171349464313,0.0014001738745719194,0.24629305455730194,0.9615384615384616,0.9844045750601438,"              precision    recall  f1-score   support

         0.0       0.88      0.78      0.83        46
         1.0       0.90      0.95      0.92        91

    accuracy                           0.89       137
   macro avg       0.89      0.86      0.87       137
weighted avg       0.89      0.89      0.89       137
"
228,78,44,2,13,0.7795834491228217,0.08416202664375305,0.3261763161669175,0.9770664118490207,0.9896267517975769,"              precision    recall  f1-score   support

         0.0       0.77      0.96      0.85        46
         1.0       0.97      0.86      0.91        91

    accuracy                           0.89       137
   macro avg       0.87      0.91      0.88       137
weighted avg       0.91      0.89      0.89       137
"
342,75,46,0,16,0.7819752482685394,0.00017156658577732742,0.399193832160462,0.9703774486383181,0.9873319862240105,"              precision    recall  f1-score   support

         0.0       0.74      1.00      0.85        46
         1.0       1.00      0.82      0.90        91

    accuracy                           0.88       137
   macro avg       0.87      0.91      0.88       137
weighted avg       0.91      0.88      0.89       137
"
456,81,44,2,10,0.8181975507452043,0.00035127854789607227,0.36365664358769817,0.9523411371237459,0.9787457998732007,"              precision    recall  f1-score   support

         0.0       0.81      0.96      0.88        46
         1.0       0.98      0.89      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.92      0.91       137
weighted avg       0.92      0.91      0.91       137
"
570,77,46,0,14,0.8054302879318288,0.002560687717050314,0.38861385467720944,0.9648829431438126,0.9853261460776082,"              precision    recall  f1-score   support

         0.0       0.77      1.00      0.87        46
         1.0       1.00      0.85      0.92        91

    accuracy                           0.90       137
   macro avg       0.88      0.92      0.89       137
weighted avg       0.92      0.90      0.90       137
"
684,82,45,1,9,0.8498265192700611,0.0025847391225397587,0.36223363116409424,0.9583134257047301,0.9820290564040441,"              precision    recall  f1-score   support

         0.0       0.83      0.98      0.90        46
         1.0       0.99      0.90      0.94        91

    accuracy                           0.93       137
   macro avg       0.91      0.94      0.92       137
weighted avg       0.94      0.93      0.93       137
"
798,80,45,1,11,0.8236397979471572,0.0006939510349184275,0.4665017839450027,0.9601051122790253,0.9829728890207298,"              precision    recall  f1-score   support

         0.0       0.80      0.98      0.88        46
         1.0       0.99      0.88      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.93      0.91       137
weighted avg       0.93      0.91      0.91       137
"
912,82,45,1,9,0.8498265192700611,0.0004847945529036224,0.557263981275254,0.9727663640707119,0.9886883295443684,"              precision    recall  f1-score   support

         0.0       0.83      0.98      0.90        46
         1.0       0.99      0.90      0.94        91

    accuracy                           0.93       137
   macro avg       0.91      0.94      0.92       137
weighted avg       0.94      0.93      0.93       137
"
1026,82,45,1,9,0.8498265192700611,0.001725014066323638,0.6355847412212623,0.9541328236980411,0.9814342176125113,"              precision    recall  f1-score   support

         0.0       0.83      0.98      0.90        46
         1.0       0.99      0.90      0.94        91

    accuracy                           0.93       137
   macro avg       0.91      0.94      0.92       137
weighted avg       0.94      0.93      0.93       137
"
1140,82,45,1,9,0.8498265192700611,0.0021723625250160694,0.6332142651590402,0.9722885809842332,0.9880282551375887,"              precision    recall  f1-score   support

         0.0       0.83      0.98      0.90        46
         1.0       0.99      0.90      0.94        91

    accuracy                           0.93       137
   macro avg       0.91      0.94      0.92       137
weighted avg       0.94      0.93      0.93       137
"
1254,84,43,3,7,0.8415330261848569,0.00014661121531389654,0.5806522482170193,0.9616579073100813,0.9843639142360698,"              precision    recall  f1-score   support

         0.0       0.86      0.93      0.90        46
         1.0       0.97      0.92      0.94        91

    accuracy                           0.93       137
   macro avg       0.91      0.93      0.92       137
weighted avg       0.93      0.93      0.93       137
"
1368,83,45,1,8,0.8633406757859726,0.00016703744768165052,0.626389725073548,0.963210702341137,0.9846720895832601,"              precision    recall  f1-score   support

         0.0       0.85      0.98      0.91        46
         1.0       0.99      0.91      0.95        91

    accuracy                           0.93       137
   macro avg       0.92      0.95      0.93       137
weighted avg       0.94      0.93      0.94       137
"
1482,82,45,1,9,0.8498265192700611,0.00014601703151129186,0.6867228138026904,0.9604634495938843,0.9837987119211273,"              precision    recall  f1-score   support

         0.0       0.83      0.98      0.90        46
         1.0       0.99      0.90      0.94        91

    accuracy                           0.93       137
   macro avg       0.91      0.94      0.92       137
weighted avg       0.94      0.93      0.93       137
"
1596,82,45,1,9,0.8498265192700611,0.0001079977082554251,0.6909928288381101,0.9596273291925466,0.9837563227218084,"              precision    recall  f1-score   support

         0.0       0.83      0.98      0.90        46
         1.0       0.99      0.90      0.94        91

    accuracy                           0.93       137
   macro avg       0.91      0.94      0.92       137
weighted avg       0.94      0.93      0.93       137
"
1710,82,45,1,9,0.8498265192700611,0.00012468441855162382,0.6959836393927818,0.9595078834209269,0.9835322180705671,"              precision    recall  f1-score   support

         0.0       0.83      0.98      0.90        46
         1.0       0.99      0.90      0.94        91

    accuracy                           0.93       137
   macro avg       0.91      0.94      0.92       137
weighted avg       0.94      0.93      0.93       137
"
