global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss,auroc,auprc,classification_report
114,79,42,4,12,0.7549396136954903,0.06076989322900772,0.4156050535125865,0.9402771141901577,0.9746517931056163,"              precision    recall  f1-score   support

         0.0       0.78      0.91      0.84        46
         1.0       0.95      0.87      0.91        91

    accuracy                           0.88       137
   macro avg       0.86      0.89      0.87       137
weighted avg       0.89      0.88      0.89       137
"
228,80,41,5,11,0.7497543122325503,1.637878656387329,0.37980206755714285,0.9338270425226948,0.9712029041075845,"              precision    recall  f1-score   support

         0.0       0.79      0.89      0.84        46
         1.0       0.94      0.88      0.91        91

    accuracy                           0.88       137
   macro avg       0.86      0.89      0.87       137
weighted avg       0.89      0.88      0.88       137
"
342,82,42,4,9,0.7953635064263307,0.0015366276493296027,0.3710799203448308,0.9562828475871954,0.9783319530941166,"              precision    recall  f1-score   support

         0.0       0.82      0.91      0.87        46
         1.0       0.95      0.90      0.93        91

    accuracy                           0.91       137
   macro avg       0.89      0.91      0.90       137
weighted avg       0.91      0.91      0.91       137
"
456,81,43,3,10,0.7998699633724077,0.0007884729420766234,0.5936353143980442,0.9577161968466317,0.9796879209889278,"              precision    recall  f1-score   support

         0.0       0.81      0.93      0.87        46
         1.0       0.96      0.89      0.93        91

    accuracy                           0.91       137
   macro avg       0.89      0.91      0.90       137
weighted avg       0.91      0.91      0.91       137
"
570,81,40,6,10,0.745217216170383,0.0006036994163878262,0.7939223894079785,0.9463688485427616,0.9748152814192532,"              precision    recall  f1-score   support

         0.0       0.80      0.87      0.83        46
         1.0       0.93      0.89      0.91        91

    accuracy                           0.88       137
   macro avg       0.87      0.88      0.87       137
weighted avg       0.89      0.88      0.88       137
"
684,76,44,2,15,0.7550567335253173,0.00016306339239235967,0.8161415979981635,0.9266602962255137,0.9267356490324271,"              precision    recall  f1-score   support

         0.0       0.75      0.96      0.84        46
         1.0       0.97      0.84      0.90        91

    accuracy                           0.88       137
   macro avg       0.86      0.90      0.87       137
weighted avg       0.90      0.88      0.88       137
"
798,77,43,3,14,0.74822615830373,0.00016012246487662196,0.9409343157205714,0.9339464882943143,0.9500414870269471,"              precision    recall  f1-score   support

         0.0       0.75      0.93      0.83        46
         1.0       0.96      0.85      0.90        91

    accuracy                           0.88       137
   macro avg       0.86      0.89      0.87       137
weighted avg       0.89      0.88      0.88       137
"
912,80,43,3,11,0.7865685822203473,9.210419375449419e-05,0.7980379019648657,0.9429049211657906,0.9507511164927582,"              precision    recall  f1-score   support

         0.0       0.80      0.93      0.86        46
         1.0       0.96      0.88      0.92        91

    accuracy                           0.90       137
   macro avg       0.88      0.91      0.89       137
weighted avg       0.91      0.90      0.90       137
"
1026,82,43,3,9,0.8134543685276568,3.0119741495582275e-05,0.7358310949330189,0.9297658862876255,0.9197410368516044,"              precision    recall  f1-score   support

         0.0       0.83      0.93      0.88        46
         1.0       0.96      0.90      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.92      0.90       137
weighted avg       0.92      0.91      0.91       137
"
1140,76,44,2,15,0.7550567335253173,3.063617259613238e-05,1.1005167032114715,0.9205685618729097,0.9186532101227973,"              precision    recall  f1-score   support

         0.0       0.75      0.96      0.84        46
         1.0       0.97      0.84      0.90        91

    accuracy                           0.88       137
   macro avg       0.86      0.90      0.87       137
weighted avg       0.90      0.88      0.88       137
"
1254,78,43,3,13,0.760759523598447,3.2304909836966544e-05,0.959561827635399,0.9266602962255136,0.9120663008943639,"              precision    recall  f1-score   support

         0.0       0.77      0.93      0.84        46
         1.0       0.96      0.86      0.91        91

    accuracy                           0.88       137
   macro avg       0.87      0.90      0.88       137
weighted avg       0.90      0.88      0.89       137
"
1368,78,43,3,13,0.760759523598447,2.2450802134699188e-05,0.9791838544477085,0.9289297658862877,0.925371853404445,"              precision    recall  f1-score   support

         0.0       0.77      0.93      0.84        46
         1.0       0.96      0.86      0.91        91

    accuracy                           0.88       137
   macro avg       0.87      0.90      0.88       137
weighted avg       0.90      0.88      0.89       137
"
1482,78,43,3,13,0.760759523598447,2.006668182730209e-05,0.9955792852482167,0.9301242236024845,0.9323594918250685,"              precision    recall  f1-score   support

         0.0       0.77      0.93      0.84        46
         1.0       0.96      0.86      0.91        91

    accuracy                           0.88       137
   macro avg       0.87      0.90      0.88       137
weighted avg       0.90      0.88      0.89       137
"
1596,78,43,3,13,0.760759523598447,1.5417608665302396e-05,1.0048413098631197,0.9300047778308648,0.931994994511063,"              precision    recall  f1-score   support

         0.0       0.77      0.93      0.84        46
         1.0       0.96      0.86      0.91        91

    accuracy                           0.88       137
   macro avg       0.87      0.90      0.88       137
weighted avg       0.90      0.88      0.89       137
"
1710,78,43,3,13,0.760759523598447,5.3005518566351384e-05,1.008349206316729,0.9304825609173436,0.9333167067871377,"              precision    recall  f1-score   support

         0.0       0.77      0.93      0.84        46
         1.0       0.96      0.86      0.91        91

    accuracy                           0.88       137
   macro avg       0.87      0.90      0.88       137
weighted avg       0.90      0.88      0.89       137
"
