global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss,auroc,auprc,classification_report
114,69,46,0,22,0.7161900922397391,0.1517607569694519,0.3503934784481923,0.9526994744386048,0.9794558487744511,"              precision    recall  f1-score   support

         0.0       0.68      1.00      0.81        46
         1.0       1.00      0.76      0.86        91

    accuracy                           0.84       137
   macro avg       0.84      0.88      0.83       137
weighted avg       0.89      0.84      0.84       137
"
228,91,0,46,0,0.0,0.31340810656547546,0.6438814020819135,0.546583850931677,0.6955359998557882,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
342,0,46,0,91,0.0,1.4910081624984741,0.9509389532936944,0.8573817486860965,0.9085788911086009,"              precision    recall  f1-score   support

         0.0       0.34      1.00      0.50        46
         1.0       0.00      0.00      0.00        91

    accuracy                           0.34       137
   macro avg       0.17      0.50      0.25       137
weighted avg       0.11      0.34      0.17       137
"
456,91,0,46,0,0.0,0.2173745483160019,0.6497900552219815,0.5,0.6642335766423357,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
570,91,0,46,0,0.0,0.6477596759796143,0.6264925433529748,0.5473005255613952,0.6885110023796156,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
684,91,0,46,0,0.0,0.6147564053535461,0.6268417239189148,0.5228141423793597,0.6781650090893424,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
798,91,0,46,0,0.0,0.638707160949707,0.6265049742327796,0.47551361681796467,0.653373323563626,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
912,91,0,46,0,0.0,0.9489171504974365,0.6301277809672885,0.4739608217869087,0.6535162506436346,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
1026,91,0,46,0,0.0,0.8983590006828308,0.6268431544303894,0.4897276636407071,0.6639672999012475,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
1140,91,0,46,0,0.0,0.7873060703277588,0.6279069499837028,0.4166268514094601,0.6299553269611367,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
1254,91,0,46,0,0.0,0.8632451891899109,0.6318144417471356,0.5567367415193502,0.6919430934029474,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
1368,91,0,46,0,0.0,0.6875523328781128,0.6264468166563246,0.6287625418060201,0.7323481385033146,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
1482,91,0,46,0,0.0,0.6081706285476685,0.6264667014280955,0.5625895843287148,0.6931276347334742,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
1596,91,0,46,0,0.0,0.622212827205658,0.626961832245191,0.3786430960344004,0.6235589071360731,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
1710,91,0,46,0,0.0,0.9748806953430176,0.6271037608385086,0.529144768275203,0.6780900429027006,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
