global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss,auroc,auprc,classification_report
114,84,32,14,7,0.6475224208519897,0.30111366510391235,0.3551547151679794,0.9386048733874821,0.971281185146423,"              precision    recall  f1-score   support

         0.0       0.82      0.70      0.75        46
         1.0       0.86      0.92      0.89        91

    accuracy                           0.85       137
   macro avg       0.84      0.81      0.82       137
weighted avg       0.84      0.85      0.84       137
"
228,81,43,3,10,0.7998699633724077,0.04086965322494507,0.30246814004042083,0.965480172001911,0.9845858387115581,"              precision    recall  f1-score   support

         0.0       0.81      0.93      0.87        46
         1.0       0.96      0.89      0.93        91

    accuracy                           0.91       137
   macro avg       0.89      0.91      0.90       137
weighted avg       0.91      0.91      0.91       137
"
342,86,41,5,5,0.8363592928810321,0.04652637243270874,0.28888601809740067,0.9245102723363593,0.9195492259979634,"              precision    recall  f1-score   support

         0.0       0.89      0.89      0.89        46
         1.0       0.95      0.95      0.95        91

    accuracy                           0.93       137
   macro avg       0.92      0.92      0.92       137
weighted avg       0.93      0.93      0.93       137
"
456,83,39,7,8,0.7559513960760942,0.06910976022481918,0.34642116559876335,0.8365981844242715,0.8584289171680092,"              precision    recall  f1-score   support

         0.0       0.83      0.85      0.84        46
         1.0       0.92      0.91      0.92        91

    accuracy                           0.89       137
   macro avg       0.88      0.88      0.88       137
weighted avg       0.89      0.89      0.89       137
"
570,83,37,9,8,0.7204049416127739,0.15796655416488647,0.5090652328088052,0.9483994266602962,0.9669315501246912,"              precision    recall  f1-score   support

         0.0       0.82      0.80      0.81        46
         1.0       0.90      0.91      0.91        91

    accuracy                           0.88       137
   macro avg       0.86      0.86      0.86       137
weighted avg       0.88      0.88      0.88       137
"
684,79,40,6,12,0.717904284084997,0.00409295316785574,0.6708161894283775,0.9236741519350216,0.9492555894531547,"              precision    recall  f1-score   support

         0.0       0.77      0.87      0.82        46
         1.0       0.93      0.87      0.90        91

    accuracy                           0.87       137
   macro avg       0.85      0.87      0.86       137
weighted avg       0.88      0.87      0.87       137
"
798,88,27,19,3,0.6326283068270877,0.023623913526535034,0.64477409562096,0.7828475871954133,0.8364297989913754,"              precision    recall  f1-score   support

         0.0       0.90      0.59      0.71        46
         1.0       0.82      0.97      0.89        91

    accuracy                           0.84       137
   macro avg       0.86      0.78      0.80       137
weighted avg       0.85      0.84      0.83       137
"
912,88,26,20,3,0.6153251947277751,0.06673403084278107,0.4720321289367146,0.9532967032967032,0.9684075086685107,"              precision    recall  f1-score   support

         0.0       0.90      0.57      0.69        46
         1.0       0.81      0.97      0.88        91

    accuracy                           0.83       137
   macro avg       0.86      0.77      0.79       137
weighted avg       0.84      0.83      0.82       137
"
1026,88,32,14,3,0.717583983506418,0.052739739418029785,0.4427901759950651,0.9654801720019112,0.9822645132222113,"              precision    recall  f1-score   support

         0.0       0.91      0.70      0.79        46
         1.0       0.86      0.97      0.91        91

    accuracy                           0.88       137
   macro avg       0.89      0.83      0.85       137
weighted avg       0.88      0.88      0.87       137
"
1140,88,34,12,3,0.7511107119184268,1.787600040435791,0.4377023856052094,0.9615384615384616,0.9790353021064577,"              precision    recall  f1-score   support

         0.0       0.92      0.74      0.82        46
         1.0       0.88      0.97      0.92        91

    accuracy                           0.89       137
   macro avg       0.90      0.85      0.87       137
weighted avg       0.89      0.89      0.89       137
"
1254,69,46,0,22,0.7161900922397391,0.026348670944571495,0.5952067672171526,0.8993072145246058,0.9583423432802551,"              precision    recall  f1-score   support

         0.0       0.68      1.00      0.81        46
         1.0       1.00      0.76      0.86        91

    accuracy                           0.84       137
   macro avg       0.84      0.88      0.83       137
weighted avg       0.89      0.84      0.84       137
"
1368,79,46,0,12,0.8297700754869088,0.011485321447253227,0.34806180491836536,0.9544911610129001,0.9800939934684645,"              precision    recall  f1-score   support

         0.0       0.79      1.00      0.88        46
         1.0       1.00      0.87      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.93      0.91       137
weighted avg       0.93      0.91      0.91       137
"
1482,84,44,2,7,0.8593099855228138,0.0032455704640597105,0.2866167649368031,0.9671524128045865,0.9859553126897376,"              precision    recall  f1-score   support

         0.0       0.86      0.96      0.91        46
         1.0       0.98      0.92      0.95        91

    accuracy                           0.93       137
   macro avg       0.92      0.94      0.93       137
weighted avg       0.94      0.93      0.94       137
"
1596,83,44,2,8,0.8453043966752102,0.003669310826808214,0.3465375660452992,0.9726469182990922,0.9867717567672265,"              precision    recall  f1-score   support

         0.0       0.85      0.96      0.90        46
         1.0       0.98      0.91      0.94        91

    accuracy                           0.93       137
   macro avg       0.91      0.93      0.92       137
weighted avg       0.93      0.93      0.93       137
"
1710,83,44,2,8,0.8453043966752102,1.4710965156555176,0.32428368874308133,0.9702580028666985,0.9858215069966425,"              precision    recall  f1-score   support

         0.0       0.85      0.96      0.90        46
         1.0       0.98      0.91      0.94        91

    accuracy                           0.93       137
   macro avg       0.91      0.93      0.92       137
weighted avg       0.93      0.93      0.93       137
"
