global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss,auroc,auprc,classification_report
114,89,40,6,2,0.8681555606718159,0.054728638380765915,0.2567718140263524,0.9698996655518395,0.9829083771453417,"              precision    recall  f1-score   support

         0.0       0.95      0.87      0.91        46
         1.0       0.94      0.98      0.96        91

    accuracy                           0.94       137
   macro avg       0.94      0.92      0.93       137
weighted avg       0.94      0.94      0.94       137
"
228,84,42,4,7,0.8238137877761129,0.02711469493806362,0.30418624862148946,0.9390826564739608,0.9739683379710444,"              precision    recall  f1-score   support

         0.0       0.86      0.91      0.88        46
         1.0       0.95      0.92      0.94        91

    accuracy                           0.92       137
   macro avg       0.91      0.92      0.91       137
weighted avg       0.92      0.92      0.92       137
"
342,80,43,3,11,0.7865685822203473,0.5142028331756592,0.4081438449017393,0.948877209746775,0.9761877125871876,"              precision    recall  f1-score   support

         0.0       0.80      0.93      0.86        46
         1.0       0.96      0.88      0.92        91

    accuracy                           0.90       137
   macro avg       0.88      0.91      0.89       137
weighted avg       0.91      0.90      0.90       137
"
456,79,43,3,12,0.7735361766232106,0.002077814657241106,0.5991509957214779,0.9449354992833254,0.975691911564521,"              precision    recall  f1-score   support

         0.0       0.78      0.93      0.85        46
         1.0       0.96      0.87      0.91        91

    accuracy                           0.89       137
   macro avg       0.87      0.90      0.88       137
weighted avg       0.90      0.89      0.89       137
"
570,81,42,4,10,0.7816043403801035,0.0002809304278343916,0.657498207210867,0.9426660296225513,0.9739110224994032,"              precision    recall  f1-score   support

         0.0       0.81      0.91      0.86        46
         1.0       0.95      0.89      0.92        91

    accuracy                           0.90       137
   macro avg       0.88      0.90      0.89       137
weighted avg       0.90      0.90      0.90       137
"
684,81,42,4,10,0.7816043403801035,0.0005736627499572933,0.5760673501026758,0.9531772575250835,0.9797917404179927,"              precision    recall  f1-score   support

         0.0       0.81      0.91      0.86        46
         1.0       0.95      0.89      0.92        91

    accuracy                           0.90       137
   macro avg       0.88      0.90      0.89       137
weighted avg       0.90      0.90      0.90       137
"
798,83,40,6,8,0.7737453659345835,0.0005120243295095861,0.7371370327651271,0.9507883420926899,0.9776079935624089,"              precision    recall  f1-score   support

         0.0       0.83      0.87      0.85        46
         1.0       0.93      0.91      0.92        91

    accuracy                           0.90       137
   macro avg       0.88      0.89      0.89       137
weighted avg       0.90      0.90      0.90       137
"
912,82,43,3,9,0.8134543685276568,6.218557973625138e-05,0.6588524971387718,0.9476827520305782,0.9769791293998381,"              precision    recall  f1-score   support

         0.0       0.83      0.93      0.88        46
         1.0       0.96      0.90      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.92      0.90       137
weighted avg       0.92      0.91      0.91       137
"
1026,82,43,3,9,0.8134543685276568,0.00010561304952716455,0.6800748374476421,0.9472049689440996,0.9764598800659999,"              precision    recall  f1-score   support

         0.0       0.83      0.93      0.88        46
         1.0       0.96      0.90      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.92      0.90       137
weighted avg       0.92      0.91      0.91       137
"
1140,82,43,3,9,0.8134543685276568,6.719169323332608e-05,0.6925483605002429,0.9472049689440994,0.9766347138614531,"              precision    recall  f1-score   support

         0.0       0.83      0.93      0.88        46
         1.0       0.96      0.90      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.92      0.90       137
weighted avg       0.92      0.91      0.91       137
"
1254,82,43,3,9,0.8134543685276568,0.00011903974518645555,0.7049505750711533,0.9470855231724797,0.976709176885106,"              precision    recall  f1-score   support

         0.0       0.83      0.93      0.88        46
         1.0       0.96      0.90      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.92      0.90       137
weighted avg       0.92      0.91      0.91       137
"
1368,82,43,3,9,0.8134543685276568,8.27275071060285e-05,0.713784003232225,0.9467271858576205,0.9765517582107,"              precision    recall  f1-score   support

         0.0       0.83      0.93      0.88        46
         1.0       0.96      0.90      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.92      0.90       137
weighted avg       0.92      0.91      0.91       137
"
1482,82,43,3,9,0.8134543685276568,2.6106496079592034e-05,0.7204625293981937,0.9464882943143812,0.9762789987196693,"              precision    recall  f1-score   support

         0.0       0.83      0.93      0.88        46
         1.0       0.96      0.90      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.92      0.90       137
weighted avg       0.92      0.91      0.91       137
"
1596,82,43,3,9,0.8134543685276568,5.8767931477632374e-05,0.7240373198301313,0.9463688485427615,0.976220873184527,"              precision    recall  f1-score   support

         0.0       0.83      0.93      0.88        46
         1.0       0.96      0.90      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.92      0.90       137
weighted avg       0.92      0.91      0.91       137
"
1710,82,43,3,9,0.8134543685276568,3.1192608730634674e-05,0.7248339069976484,0.9468466316292403,0.9764789192193949,"              precision    recall  f1-score   support

         0.0       0.83      0.93      0.88        46
         1.0       0.96      0.90      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.92      0.90       137
weighted avg       0.92      0.91      0.91       137
"
