global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss,auroc,auprc,classification_report
114,80,44,2,11,0.8050668092317734,0.010375411249697208,0.23265264967146018,0.9820831342570473,0.9914428788602941,"              precision    recall  f1-score   support

         0.0       0.80      0.96      0.87        46
         1.0       0.98      0.88      0.92        91

    accuracy                           0.91       137
   macro avg       0.89      0.92      0.90       137
weighted avg       0.92      0.91      0.91       137
"
228,83,43,3,8,0.8273367459745722,0.04115563631057739,0.24302763488635215,0.9784997611084568,0.9895212338009165,"              precision    recall  f1-score   support

         0.0       0.84      0.93      0.89        46
         1.0       0.97      0.91      0.94        91

    accuracy                           0.92       137
   macro avg       0.90      0.92      0.91       137
weighted avg       0.92      0.92      0.92       137
"
342,80,44,2,11,0.8050668092317734,0.0005435582133941352,0.40107734809539075,0.9739608217869087,0.9878278313206061,"              precision    recall  f1-score   support

         0.0       0.80      0.96      0.87        46
         1.0       0.98      0.88      0.92        91

    accuracy                           0.91       137
   macro avg       0.89      0.92      0.90       137
weighted avg       0.92      0.91      0.91       137
"
456,86,39,7,5,0.8019362177094933,0.008202007971704006,0.30628824451964143,0.9725274725274726,0.9874687476295191,"              precision    recall  f1-score   support

         0.0       0.89      0.85      0.87        46
         1.0       0.92      0.95      0.93        91

    accuracy                           0.91       137
   macro avg       0.91      0.90      0.90       137
weighted avg       0.91      0.91      0.91       137
"
570,80,44,2,11,0.8050668092317734,0.000151657426613383,0.6366014833876963,0.9660774008600096,0.9844245427052382,"              precision    recall  f1-score   support

         0.0       0.80      0.96      0.87        46
         1.0       0.98      0.88      0.92        91

    accuracy                           0.91       137
   macro avg       0.89      0.92      0.90       137
weighted avg       0.92      0.91      0.91       137
"
684,81,43,3,10,0.7998699633724077,7.243653817567974e-05,0.5233646503745857,0.9678690874343048,0.984788390417772,"              precision    recall  f1-score   support

         0.0       0.81      0.93      0.87        46
         1.0       0.96      0.89      0.93        91

    accuracy                           0.91       137
   macro avg       0.89      0.91      0.90       137
weighted avg       0.91      0.91      0.91       137
"
798,81,44,2,10,0.8181975507452043,0.0002175418776459992,0.6304312056984903,0.9740802675585285,0.9876715617146741,"              precision    recall  f1-score   support

         0.0       0.81      0.96      0.88        46
         1.0       0.98      0.89      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.92      0.91       137
weighted avg       0.92      0.91      0.91       137
"
912,80,45,1,11,0.8236397979471572,0.0002122397709172219,0.6936599722249512,0.9728858098423316,0.9873782056385851,"              precision    recall  f1-score   support

         0.0       0.80      0.98      0.88        46
         1.0       0.99      0.88      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.93      0.91       137
weighted avg       0.93      0.91      0.91       137
"
1026,79,45,1,12,0.8109407399419135,6.28202615189366e-05,0.8148018946694214,0.9700191113234591,0.9862861063769964,"              precision    recall  f1-score   support

         0.0       0.79      0.98      0.87        46
         1.0       0.99      0.87      0.92        91

    accuracy                           0.91       137
   macro avg       0.89      0.92      0.90       137
weighted avg       0.92      0.91      0.91       137
"
1140,79,45,1,12,0.8109407399419135,4.056976831634529e-05,0.8371748736173382,0.9703774486383182,0.9864414396517669,"              precision    recall  f1-score   support

         0.0       0.79      0.98      0.87        46
         1.0       0.99      0.87      0.92        91

    accuracy                           0.91       137
   macro avg       0.89      0.92      0.90       137
weighted avg       0.92      0.91      0.91       137
"
1254,79,45,1,12,0.8109407399419135,2.37223575823009e-05,0.8386707120387958,0.9690635451505017,0.9861398439130572,"              precision    recall  f1-score   support

         0.0       0.79      0.98      0.87        46
         1.0       0.99      0.87      0.92        91

    accuracy                           0.91       137
   macro avg       0.89      0.92      0.90       137
weighted avg       0.92      0.91      0.91       137
"
1368,82,45,1,9,0.8498265192700611,7.132372411433607e-05,0.6411704280173277,0.9727663640707119,0.9875812601748053,"              precision    recall  f1-score   support

         0.0       0.83      0.98      0.90        46
         1.0       0.99      0.90      0.94        91

    accuracy                           0.93       137
   macro avg       0.91      0.94      0.92       137
weighted avg       0.94      0.93      0.93       137
"
1482,81,45,1,10,0.8365974418403364,1.7046779248630628e-05,0.6716336756705661,0.9739608217869087,0.9881093487457362,"              precision    recall  f1-score   support

         0.0       0.82      0.98      0.89        46
         1.0       0.99      0.89      0.94        91

    accuracy                           0.92       137
   macro avg       0.90      0.93      0.91       137
weighted avg       0.93      0.92      0.92       137
"
1596,81,45,1,10,0.8365974418403364,5.078096000943333e-05,0.6765308508734051,0.9739608217869087,0.9881093487457362,"              precision    recall  f1-score   support

         0.0       0.82      0.98      0.89        46
         1.0       0.99      0.89      0.94        91

    accuracy                           0.92       137
   macro avg       0.90      0.93      0.91       137
weighted avg       0.93      0.92      0.92       137
"
1710,81,45,1,10,0.8365974418403364,6.556262815138325e-05,0.6778188989856062,0.9739608217869087,0.9881114395012517,"              precision    recall  f1-score   support

         0.0       0.82      0.98      0.89        46
         1.0       0.99      0.89      0.94        91

    accuracy                           0.92       137
   macro avg       0.90      0.93      0.91       137
weighted avg       0.93      0.92      0.92       137
"
