global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss,auroc,auprc,classification_report
114,74,44,2,17,0.7313987443854743,0.24868625402450562,0.31320039567071944,0.9331103678929766,0.9715171988449632,"              precision    recall  f1-score   support

         0.0       0.72      0.96      0.82        46
         1.0       0.97      0.81      0.89        91

    accuracy                           0.86       137
   macro avg       0.85      0.88      0.85       137
weighted avg       0.89      0.86      0.86       137
"
228,71,43,3,20,0.6775182065531852,0.9795626401901245,0.5037675822774569,0.9458910654562828,0.97248754081744,"              precision    recall  f1-score   support

         0.0       0.68      0.93      0.79        46
         1.0       0.96      0.78      0.86        91

    accuracy                           0.83       137
   macro avg       0.82      0.86      0.82       137
weighted avg       0.87      0.83      0.84       137
"
342,72,44,2,19,0.7085305668264181,0.19128470122814178,0.3481049013789743,0.926899187768753,0.9472048725174218,"              precision    recall  f1-score   support

         0.0       0.70      0.96      0.81        46
         1.0       0.97      0.79      0.87        91

    accuracy                           0.85       137
   macro avg       0.84      0.87      0.84       137
weighted avg       0.88      0.85      0.85       137
"
456,91,0,46,0,0.0,0.5064595937728882,0.49844131370385486,0.8097228858098422,0.9160182366068571,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        46
         1.0       0.66      1.00      0.80        91

    accuracy                           0.66       137
   macro avg       0.33      0.50      0.40       137
weighted avg       0.44      0.66      0.53       137
"
570,73,43,3,18,0.7002995426533792,0.006593121215701103,0.36335337588874,0.9494744386048733,0.9752369208603161,"              precision    recall  f1-score   support

         0.0       0.70      0.93      0.80        46
         1.0       0.96      0.80      0.87        91

    accuracy                           0.85       137
   macro avg       0.83      0.87      0.84       137
weighted avg       0.87      0.85      0.85       137
"
684,84,39,7,7,0.7709030100334449,0.010335177183151245,0.31792963829098475,0.9653607262302915,0.9833969177276967,"              precision    recall  f1-score   support

         0.0       0.85      0.85      0.85        46
         1.0       0.92      0.92      0.92        91

    accuracy                           0.90       137
   macro avg       0.89      0.89      0.89       137
weighted avg       0.90      0.90      0.90       137
"
798,82,43,3,9,0.8134543685276568,0.013907304033637047,0.3136550080703778,0.9744386048733874,0.987447507865469,"              precision    recall  f1-score   support

         0.0       0.83      0.93      0.88        46
         1.0       0.96      0.90      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.92      0.90       137
weighted avg       0.92      0.91      0.91       137
"
912,80,43,3,11,0.7865685822203473,0.01421356201171875,0.3735913737004416,0.9812470138557096,0.9907934309081299,"              precision    recall  f1-score   support

         0.0       0.80      0.93      0.86        46
         1.0       0.96      0.88      0.92        91

    accuracy                           0.90       137
   macro avg       0.88      0.91      0.89       137
weighted avg       0.91      0.90      0.90       137
"
1026,81,45,1,10,0.8365974418403364,0.026650017127394676,0.2756292731501162,0.9779025322503584,0.9888600802130544,"              precision    recall  f1-score   support

         0.0       0.82      0.98      0.89        46
         1.0       0.99      0.89      0.94        91

    accuracy                           0.92       137
   macro avg       0.90      0.93      0.91       137
weighted avg       0.93      0.92      0.92       137
"
1140,84,42,4,7,0.8238137877761129,0.0028136863838881254,0.42180437908326796,0.9722885809842332,0.9863776902469454,"              precision    recall  f1-score   support

         0.0       0.86      0.91      0.88        46
         1.0       0.95      0.92      0.94        91

    accuracy                           0.92       137
   macro avg       0.91      0.92      0.91       137
weighted avg       0.92      0.92      0.92       137
"
1254,82,45,1,9,0.8498265192700611,0.00045869158930145204,0.47312824898916817,0.9696607740086001,0.9857557476891987,"              precision    recall  f1-score   support

         0.0       0.83      0.98      0.90        46
         1.0       0.99      0.90      0.94        91

    accuracy                           0.93       137
   macro avg       0.91      0.94      0.92       137
weighted avg       0.94      0.93      0.93       137
"
1368,83,43,3,8,0.8273367459745722,0.0008925396832637489,0.4852136066894875,0.9597467749641663,0.9813145673190312,"              precision    recall  f1-score   support

         0.0       0.84      0.93      0.89        46
         1.0       0.97      0.91      0.94        91

    accuracy                           0.92       137
   macro avg       0.90      0.92      0.91       137
weighted avg       0.92      0.92      0.92       137
"
1482,84,45,1,7,0.8771544248227634,0.0005141483852639794,0.49483061121686156,0.9713330148112758,0.9852487080888949,"              precision    recall  f1-score   support

         0.0       0.87      0.98      0.92        46
         1.0       0.99      0.92      0.95        91

    accuracy                           0.94       137
   macro avg       0.93      0.95      0.94       137
weighted avg       0.95      0.94      0.94       137
"
1596,84,44,2,7,0.8593099855228138,0.0005824313266202807,0.4676818721677086,0.9703774486383181,0.9855217134279328,"              precision    recall  f1-score   support

         0.0       0.86      0.96      0.91        46
         1.0       0.98      0.92      0.95        91

    accuracy                           0.93       137
   macro avg       0.92      0.94      0.93       137
weighted avg       0.94      0.93      0.94       137
"
1710,84,44,2,7,0.8593099855228138,0.0006657181074842811,0.4702880338291935,0.968944099378882,0.9848223594114831,"              precision    recall  f1-score   support

         0.0       0.86      0.96      0.91        46
         1.0       0.98      0.92      0.95        91

    accuracy                           0.93       137
   macro avg       0.92      0.94      0.93       137
weighted avg       0.94      0.93      0.94       137
"
