global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss,auroc,auprc,classification_report
114,84,40,6,7,0.7885088752532161,0.0597604438662529,0.20558632077235314,0.9773053033922598,0.9892050659775367,"              precision    recall  f1-score   support

         0.0       0.85      0.87      0.86        46
         1.0       0.93      0.92      0.93        91

    accuracy                           0.91       137
   macro avg       0.89      0.90      0.89       137
weighted avg       0.91      0.91      0.91       137
"
228,82,41,5,9,0.7773224861752076,0.0029224602039903402,0.41951100319662754,0.9669135212613473,0.9847438811401619,"              precision    recall  f1-score   support

         0.0       0.82      0.89      0.85        46
         1.0       0.94      0.90      0.92        91

    accuracy                           0.90       137
   macro avg       0.88      0.90      0.89       137
weighted avg       0.90      0.90      0.90       137
"
342,84,42,4,7,0.8238137877761129,2.296379327774048,0.33291991878973526,0.9715719063545151,0.9873489327880112,"              precision    recall  f1-score   support

         0.0       0.86      0.91      0.88        46
         1.0       0.95      0.92      0.94        91

    accuracy                           0.92       137
   macro avg       0.91      0.92      0.91       137
weighted avg       0.92      0.92      0.92       137
"
456,81,43,3,10,0.7998699633724077,0.00010760037548607215,0.6106489287825146,0.961777353081701,0.9825898517915719,"              precision    recall  f1-score   support

         0.0       0.81      0.93      0.87        46
         1.0       0.96      0.89      0.93        91

    accuracy                           0.91       137
   macro avg       0.89      0.91      0.90       137
weighted avg       0.91      0.91      0.91       137
"
570,79,44,2,12,0.7921996607728021,0.0019948380067944527,0.5312410186286596,0.9630912565695174,0.9829069002022465,"              precision    recall  f1-score   support

         0.0       0.79      0.96      0.86        46
         1.0       0.98      0.87      0.92        91

    accuracy                           0.90       137
   macro avg       0.88      0.91      0.89       137
weighted avg       0.91      0.90      0.90       137
"
684,81,43,3,10,0.7998699633724077,7.609203748870641e-05,0.5520652282189581,0.9654801720019112,0.9844335931631731,"              precision    recall  f1-score   support

         0.0       0.81      0.93      0.87        46
         1.0       0.96      0.89      0.93        91

    accuracy                           0.91       137
   macro avg       0.89      0.91      0.90       137
weighted avg       0.91      0.91      0.91       137
"
798,82,43,3,9,0.8134543685276568,0.000223893832298927,0.5958799107433556,0.9632107023411371,0.983393893766617,"              precision    recall  f1-score   support

         0.0       0.83      0.93      0.88        46
         1.0       0.96      0.90      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.92      0.90       137
weighted avg       0.92      0.91      0.91       137
"
912,82,44,2,9,0.8316053195791901,3.512600960675627e-05,0.7035454994936825,0.9543717152412805,0.9799137175417312,"              precision    recall  f1-score   support

         0.0       0.83      0.96      0.89        46
         1.0       0.98      0.90      0.94        91

    accuracy                           0.92       137
   macro avg       0.90      0.93      0.91       137
weighted avg       0.93      0.92      0.92       137
"
1026,80,44,2,11,0.8050668092317734,5.702010457753204e-05,0.797557619655941,0.9590301003344481,0.9814757238922022,"              precision    recall  f1-score   support

         0.0       0.80      0.96      0.87        46
         1.0       0.98      0.88      0.92        91

    accuracy                           0.91       137
   macro avg       0.89      0.92      0.90       137
weighted avg       0.92      0.91      0.91       137
"
1140,81,44,2,10,0.8181975507452043,3.035791996808257e-05,0.8085815080922758,0.9531772575250836,0.9795095347042013,"              precision    recall  f1-score   support

         0.0       0.81      0.96      0.88        46
         1.0       0.98      0.89      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.92      0.91       137
weighted avg       0.92      0.91      0.91       137
"
1254,81,44,2,10,0.8181975507452043,1.1006918612110894e-05,0.8299089011091938,0.9503105590062112,0.9786721217506689,"              precision    recall  f1-score   support

         0.0       0.81      0.96      0.88        46
         1.0       0.98      0.89      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.92      0.91       137
weighted avg       0.92      0.91      0.91       137
"
1368,82,43,3,9,0.8134543685276568,1.8278569768881425e-05,0.7898965523990632,0.9500716674629719,0.9783900826137216,"              precision    recall  f1-score   support

         0.0       0.83      0.93      0.88        46
         1.0       0.96      0.90      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.92      0.90       137
weighted avg       0.92      0.91      0.91       137
"
1482,81,44,2,10,0.8181975507452043,2.3007065465208143e-05,0.8838694298137347,0.9467271858576207,0.9779396941388496,"              precision    recall  f1-score   support

         0.0       0.81      0.96      0.88        46
         1.0       0.98      0.89      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.92      0.91       137
weighted avg       0.92      0.91      0.91       137
"
1596,81,44,2,10,0.8181975507452043,1.903353404486552e-05,0.850934179924252,0.9468466316292402,0.9779350284660191,"              precision    recall  f1-score   support

         0.0       0.81      0.96      0.88        46
         1.0       0.98      0.89      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.92      0.91       137
weighted avg       0.92      0.91      0.91       137
"
1710,81,44,2,10,0.8181975507452043,6.953850061108824e-06,0.8853099050653681,0.9463688485427616,0.977822906491565,"              precision    recall  f1-score   support

         0.0       0.81      0.96      0.88        46
         1.0       0.98      0.89      0.93        91

    accuracy                           0.91       137
   macro avg       0.90      0.92      0.91       137
weighted avg       0.92      0.91      0.91       137
"
