global_step,mcc,train_loss,eval_loss,classification_report
66,-0.03631147949562763,1.1557835340499878,1.269873701609098,"              precision    recall  f1-score   support

         0.0       0.14      0.14      0.14        21
         1.0       0.30      0.12      0.18        24
         2.0       0.49      0.66      0.56        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.39       100
   macro avg       0.23      0.23      0.22       100
weighted avg       0.34      0.39      0.35       100
"
132,0.008752319219545904,1.4338395595550537,1.2659788131713867,"              precision    recall  f1-score   support

         0.0       0.11      0.05      0.07        21
         1.0       0.24      0.79      0.37        24
         2.0       0.64      0.14      0.23        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.27       100
   macro avg       0.25      0.24      0.17       100
weighted avg       0.40      0.27      0.22       100
"
198,0.0,1.1011829376220703,1.1935162452551036,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.00      0.00      0.00        24
         2.0       0.50      1.00      0.67        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.50       100
   macro avg       0.12      0.25      0.17       100
weighted avg       0.25      0.50      0.33       100
"
264,0.0,1.4426169395446777,1.247895754300631,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.24      1.00      0.39        24
         2.0       0.00      0.00      0.00        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.24       100
   macro avg       0.06      0.25      0.10       100
weighted avg       0.06      0.24      0.09       100
"
330,0.0,1.384183645248413,1.203576766527616,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.00      0.00      0.00        24
         2.0       0.50      1.00      0.67        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.50       100
   macro avg       0.12      0.25      0.17       100
weighted avg       0.25      0.50      0.33       100
"
396,0.0,1.3875341415405273,1.1680569557043223,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.00      0.00      0.00        24
         2.0       0.50      1.00      0.67        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.50       100
   macro avg       0.12      0.25      0.17       100
weighted avg       0.25      0.50      0.33       100
"
462,0.0,1.1857937574386597,1.1814049940842848,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.00      0.00      0.00        24
         2.0       0.50      1.00      0.67        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.50       100
   macro avg       0.12      0.25      0.17       100
weighted avg       0.25      0.50      0.33       100
"
528,0.0,1.2308567762374878,1.1684445234445424,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.00      0.00      0.00        24
         2.0       0.50      1.00      0.67        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.50       100
   macro avg       0.12      0.25      0.17       100
weighted avg       0.25      0.50      0.33       100
"
594,0.0,0.9914166927337646,1.1789796810883741,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.00      0.00      0.00        24
         2.0       0.50      1.00      0.67        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.50       100
   macro avg       0.12      0.25      0.17       100
weighted avg       0.25      0.50      0.33       100
"
660,0.0,1.0931793451309204,1.1820731163024902,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.00      0.00      0.00        24
         2.0       0.50      1.00      0.67        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.50       100
   macro avg       0.12      0.25      0.17       100
weighted avg       0.25      0.50      0.33       100
"
