global_step,mcc,train_loss,eval_loss,classification_report
66,0.2932431329920109,1.2501949071884155,1.0603525730279775,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.73      0.46      0.56        24
         2.0       0.55      0.94      0.70        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.58       100
   macro avg       0.32      0.35      0.32       100
weighted avg       0.45      0.58      0.48       100
"
132,0.4470667207806256,1.1158231496810913,0.9418533581953782,"              precision    recall  f1-score   support

         0.0       0.40      0.90      0.56        21
         1.0       0.92      0.46      0.61        24
         2.0       0.76      0.62      0.68        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.61       100
   macro avg       0.52      0.50      0.46       100
weighted avg       0.68      0.61      0.60       100
"
198,0.5319426772614059,0.43493935465812683,0.8550419967908126,"              precision    recall  f1-score   support

         0.0       0.55      0.81      0.65        21
         1.0       0.92      0.50      0.65        24
         2.0       0.73      0.82      0.77        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.70       100
   macro avg       0.55      0.53      0.52       100
weighted avg       0.70      0.70      0.68       100
"
264,0.3946239146263622,0.18549668788909912,1.1225376610572522,"              precision    recall  f1-score   support

         0.0       0.50      0.57      0.53        21
         1.0       0.48      0.67      0.56        24
         2.0       0.74      0.64      0.69        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.60       100
   macro avg       0.43      0.47      0.45       100
weighted avg       0.59      0.60      0.59       100
"
330,0.522167526496078,0.5364224314689636,1.1995864059202945,"              precision    recall  f1-score   support

         0.0       0.65      0.71      0.68        21
         1.0       0.57      0.71      0.63        24
         2.0       0.79      0.74      0.76        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.69       100
   macro avg       0.50      0.54      0.52       100
weighted avg       0.67      0.69      0.68       100
"
396,0.44792664212365274,0.8032634258270264,1.5380971626593516,"              precision    recall  f1-score   support

         0.0       0.61      0.67      0.64        21
         1.0       0.55      0.71      0.62        24
         2.0       0.76      0.64      0.70        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.63       100
   macro avg       0.48      0.50      0.49       100
weighted avg       0.64      0.63      0.63       100
"
462,0.5149838985421914,0.003825582331046462,1.546191850533852,"              precision    recall  f1-score   support

         0.0       0.67      0.76      0.71        21
         1.0       0.67      0.58      0.62        24
         2.0       0.75      0.78      0.76        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.69       100
   macro avg       0.52      0.53      0.52       100
weighted avg       0.68      0.69      0.68       100
"
528,0.47551520773267986,0.0029382966458797455,1.8180233690028007,"              precision    recall  f1-score   support

         0.0       0.70      0.67      0.68        21
         1.0       0.70      0.58      0.64        24
         2.0       0.75      0.72      0.73        50
         3.0       0.08      0.20      0.12         5

    accuracy                           0.65       100
   macro avg       0.56      0.54      0.54       100
weighted avg       0.69      0.65      0.67       100
"
594,0.47882537949090626,0.018767960369586945,1.9802610725164413,"              precision    recall  f1-score   support

         0.0       0.79      0.52      0.63        21
         1.0       0.70      0.58      0.64        24
         2.0       0.79      0.74      0.76        50
         3.0       0.11      0.40      0.17         5

    accuracy                           0.64       100
   macro avg       0.59      0.56      0.55       100
weighted avg       0.73      0.64      0.67       100
"
660,0.45693311467530695,0.0023847068659961224,2.021317122074274,"              precision    recall  f1-score   support

         0.0       0.85      0.52      0.65        21
         1.0       0.70      0.58      0.64        24
         2.0       0.76      0.74      0.75        50
         3.0       0.06      0.20      0.09         5

    accuracy                           0.63       100
   macro avg       0.59      0.51      0.53       100
weighted avg       0.73      0.63      0.67       100
"
