global_step,mcc,train_loss,eval_loss,classification_report
66,0.2772819188987948,1.0725916624069214,1.1141430185391352,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.82      0.38      0.51        24
         2.0       0.54      0.96      0.69        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.57       100
   macro avg       0.34      0.33      0.30       100
weighted avg       0.47      0.57      0.47       100
"
132,0.289403887012598,0.9407228231430054,1.0474921785868132,"              precision    recall  f1-score   support

         0.0       0.50      0.38      0.43        21
         1.0       0.48      0.54      0.51        24
         2.0       0.61      0.70      0.65        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.56       100
   macro avg       0.40      0.41      0.40       100
weighted avg       0.53      0.56      0.54       100
"
198,0.4067581743944484,0.8245298266410828,0.9381764531135559,"              precision    recall  f1-score   support

         0.0       0.48      0.76      0.59        21
         1.0       0.69      0.38      0.49        24
         2.0       0.69      0.74      0.71        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.62       100
   macro avg       0.47      0.47      0.45       100
weighted avg       0.61      0.62      0.60       100
"
264,0.5216281687695682,0.3660346269607544,0.8855993827948203,"              precision    recall  f1-score   support

         0.0       0.60      0.71      0.65        21
         1.0       0.78      0.58      0.67        24
         2.0       0.72      0.82      0.77        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.70       100
   macro avg       0.52      0.53      0.52       100
weighted avg       0.67      0.70      0.68       100
"
330,0.4731632923821766,0.23166552186012268,0.900070825448403,"              precision    recall  f1-score   support

         0.0       0.64      0.67      0.65        21
         1.0       0.65      0.62      0.64        24
         2.0       0.69      0.76      0.72        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.67       100
   macro avg       0.49      0.51      0.50       100
weighted avg       0.64      0.67      0.65       100
"
396,0.5308878323764231,0.9016245603561401,0.9864464568404051,"              precision    recall  f1-score   support

         0.0       0.67      0.57      0.62        21
         1.0       0.76      0.67      0.71        24
         2.0       0.70      0.86      0.77        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.71       100
   macro avg       0.53      0.52      0.53       100
weighted avg       0.68      0.71      0.69       100
"
462,0.49644107007760163,0.012076083570718765,1.3620569399343088,"              precision    recall  f1-score   support

         0.0       0.69      0.52      0.59        21
         1.0       0.73      0.67      0.70        24
         2.0       0.68      0.84      0.75        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.69       100
   macro avg       0.52      0.51      0.51       100
weighted avg       0.66      0.69      0.67       100
"
528,0.41593281727944315,0.006133257411420345,1.9707787330620563,"              precision    recall  f1-score   support

         0.0       0.59      0.48      0.53        21
         1.0       0.55      0.71      0.62        24
         2.0       0.69      0.72      0.71        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.63       100
   macro avg       0.46      0.48      0.46       100
weighted avg       0.60      0.63      0.61       100
"
594,0.46884090777716336,0.003710626158863306,1.8462400029126842,"              precision    recall  f1-score   support

         0.0       0.65      0.52      0.58        21
         1.0       0.73      0.67      0.70        24
         2.0       0.68      0.80      0.73        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.67       100
   macro avg       0.51      0.50      0.50       100
weighted avg       0.65      0.67      0.66       100
"
660,0.47165301884124405,0.024465007707476616,1.828065003340061,"              precision    recall  f1-score   support

         0.0       0.65      0.52      0.58        21
         1.0       0.73      0.67      0.70        24
         2.0       0.69      0.80      0.74        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.67       100
   macro avg       0.52      0.50      0.50       100
weighted avg       0.66      0.67      0.66       100
"
