global_step,mcc,train_loss,eval_loss,classification_report
66,0.22232233919048186,1.3114527463912964,1.1946721627162054,"              precision    recall  f1-score   support

         0.0       0.31      0.38      0.34        21
         1.0       1.00      0.29      0.45        24
         2.0       0.57      0.76      0.65        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.53       100
   macro avg       0.47      0.36      0.36       100
weighted avg       0.59      0.53      0.50       100
"
132,0.2772819188987948,1.202712893486023,1.0964962106484633,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.82      0.38      0.51        24
         2.0       0.54      0.96      0.69        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.57       100
   macro avg       0.34      0.33      0.30       100
weighted avg       0.47      0.57      0.47       100
"
198,0.0,1.1224603652954102,1.1857509062840388,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.00      0.00      0.00        24
         2.0       0.50      1.00      0.67        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.50       100
   macro avg       0.12      0.25      0.17       100
weighted avg       0.25      0.50      0.33       100
"
264,0.17808903241879276,1.1868799924850464,1.2204148769378662,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.53      0.42      0.47        24
         2.0       0.53      0.86      0.66        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.53       100
   macro avg       0.26      0.32      0.28       100
weighted avg       0.39      0.53      0.44       100
"
330,0.0,1.07016921043396,1.2366372805375319,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.00      0.00      0.00        24
         2.0       0.50      1.00      0.67        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.50       100
   macro avg       0.12      0.25      0.17       100
weighted avg       0.25      0.50      0.33       100
"
396,0.1689697675459327,1.5763410329818726,1.1570834334080036,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.43      0.54      0.48        24
         2.0       0.54      0.76      0.63        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.51       100
   macro avg       0.24      0.33      0.28       100
weighted avg       0.38      0.51      0.43       100
"
462,0.0,1.1701312065124512,1.199371988956745,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.00      0.00      0.00        24
         2.0       0.50      1.00      0.67        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.50       100
   macro avg       0.12      0.25      0.17       100
weighted avg       0.25      0.50      0.33       100
"
528,0.22630852084898886,1.1754918098449707,1.130286964086386,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       1.00      0.17      0.29        24
         2.0       0.52      1.00      0.68        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.54       100
   macro avg       0.38      0.29      0.24       100
weighted avg       0.50      0.54      0.41       100
"
594,0.16398141906870126,1.459575891494751,1.1652256021132836,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.50      0.46      0.48        24
         2.0       0.53      0.82      0.64        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.52       100
   macro avg       0.26      0.32      0.28       100
weighted avg       0.38      0.52      0.44       100
"
660,0.26981392911818697,1.3138651847839355,1.1138527255791884,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.71      0.42      0.53        24
         2.0       0.55      0.94      0.69        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.57       100
   macro avg       0.32      0.34      0.30       100
weighted avg       0.44      0.57      0.47       100
"
