global_step,mcc,train_loss,eval_loss,classification_report
66,0.2678064291033231,1.3072572946548462,1.1282131717755244,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.58      0.46      0.51        24
         2.0       0.57      0.92      0.70        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.57       100
   macro avg       0.29      0.34      0.30       100
weighted avg       0.42      0.57      0.47       100
"
132,0.2932431329920109,0.8166773319244385,1.09467174915167,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.73      0.46      0.56        24
         2.0       0.55      0.94      0.70        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.58       100
   macro avg       0.32      0.35      0.32       100
weighted avg       0.45      0.58      0.48       100
"
198,0.31263786133325827,1.0739041566848755,1.135723930138808,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.61      0.58      0.60        24
         2.0       0.59      0.90      0.71        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.59       100
   macro avg       0.30      0.37      0.33       100
weighted avg       0.44      0.59      0.50       100
"
264,0.30461708742493243,1.4169610738754272,0.9754600181029394,"              precision    recall  f1-score   support

         0.0       0.75      0.14      0.24        21
         1.0       0.55      0.67      0.60        24
         2.0       0.58      0.78      0.67        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.58       100
   macro avg       0.47      0.40      0.38       100
weighted avg       0.58      0.58      0.53       100
"
330,0.48195431070363026,0.733090877532959,0.9993501809927133,"              precision    recall  f1-score   support

         0.0       0.55      0.81      0.65        21
         1.0       0.65      0.62      0.64        24
         2.0       0.74      0.68      0.71        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.66       100
   macro avg       0.48      0.53      0.50       100
weighted avg       0.64      0.66      0.64       100
"
396,0.42991123858888364,0.11484809219837189,1.2672557555712187,"              precision    recall  f1-score   support

         0.0       0.52      0.67      0.58        21
         1.0       0.60      0.75      0.67        24
         2.0       0.71      0.60      0.65        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.62       100
   macro avg       0.46      0.50      0.48       100
weighted avg       0.61      0.62      0.61       100
"
462,0.5387314552448986,0.02537190169095993,1.4009855790780141,"              precision    recall  f1-score   support

         0.0       0.55      0.76      0.64        21
         1.0       0.80      0.67      0.73        24
         2.0       0.76      0.74      0.75        50
         3.0       0.50      0.20      0.29         5

    accuracy                           0.70       100
   macro avg       0.65      0.59      0.60       100
weighted avg       0.71      0.70      0.70       100
"
528,0.4723868305429215,0.9553903341293335,1.5428785039828374,"              precision    recall  f1-score   support

         0.0       0.61      0.67      0.64        21
         1.0       0.74      0.58      0.65        24
         2.0       0.68      0.78      0.73        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.67       100
   macro avg       0.51      0.51      0.50       100
weighted avg       0.65      0.67      0.65       100
"
594,0.4732691460207384,0.03228459507226944,1.63552588224411,"              precision    recall  f1-score   support

         0.0       0.62      0.71      0.67        21
         1.0       0.75      0.62      0.68        24
         2.0       0.70      0.66      0.68        50
         3.0       0.22      0.40      0.29         5

    accuracy                           0.65       100
   macro avg       0.57      0.60      0.58       100
weighted avg       0.67      0.65      0.66       100
"
660,0.48874568618810177,0.004609596915543079,1.6617973825106254,"              precision    recall  f1-score   support

         0.0       0.58      0.67      0.62        21
         1.0       0.73      0.67      0.70        24
         2.0       0.72      0.72      0.72        50
         3.0       0.25      0.20      0.22         5

    accuracy                           0.67       100
   macro avg       0.57      0.56      0.57       100
weighted avg       0.67      0.67      0.67       100
"
