global_step,mcc,train_loss,eval_loss,classification_report
66,0.0,1.043523907661438,1.1482240007473872,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.00      0.00      0.00        24
         2.0       0.50      1.00      0.67        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.50       100
   macro avg       0.12      0.25      0.17       100
weighted avg       0.25      0.50      0.33       100
"
132,0.4156284273281921,1.4223170280456543,0.889331191778183,"              precision    recall  f1-score   support

         0.0       0.67      0.29      0.40        21
         1.0       0.91      0.42      0.57        24
         2.0       0.60      0.96      0.74        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.64       100
   macro avg       0.54      0.42      0.43       100
weighted avg       0.66      0.64      0.59       100
"
198,0.43165559057753533,0.7957069277763367,0.8808116958691523,"              precision    recall  f1-score   support

         0.0       0.67      0.57      0.62        21
         1.0       0.64      0.58      0.61        24
         2.0       0.65      0.78      0.71        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.65       100
   macro avg       0.49      0.48      0.48       100
weighted avg       0.62      0.65      0.63       100
"
264,0.4460709204257085,0.48075565695762634,0.940832779957698,"              precision    recall  f1-score   support

         0.0       0.67      0.57      0.62        21
         1.0       0.65      0.54      0.59        24
         2.0       0.66      0.82      0.73        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.66       100
   macro avg       0.49      0.48      0.48       100
weighted avg       0.63      0.66      0.64       100
"
330,0.422821411253256,0.7632560729980469,1.2914877786086156,"              precision    recall  f1-score   support

         0.0       0.67      0.57      0.62        21
         1.0       0.71      0.50      0.59        24
         2.0       0.70      0.78      0.74        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.63       100
   macro avg       0.52      0.46      0.48       100
weighted avg       0.66      0.63      0.64       100
"
396,0.5251694817428263,0.5233063101768494,1.7462429206531782,"              precision    recall  f1-score   support

         0.0       0.62      0.71      0.67        21
         1.0       0.71      0.62      0.67        24
         2.0       0.74      0.80      0.77        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.70       100
   macro avg       0.52      0.53      0.53       100
weighted avg       0.67      0.70      0.68       100
"
462,0.46730722193564056,0.01681322418153286,2.289286129749738,"              precision    recall  f1-score   support

         0.0       0.65      0.52      0.58        21
         1.0       0.60      0.75      0.67        24
         2.0       0.74      0.70      0.72        50
         3.0       0.17      0.20      0.18         5

    accuracy                           0.65       100
   macro avg       0.54      0.54      0.54       100
weighted avg       0.66      0.65      0.65       100
"
528,0.4733256312548439,0.007715269457548857,2.311558891947453,"              precision    recall  f1-score   support

         0.0       0.68      0.62      0.65        21
         1.0       0.62      0.67      0.64        24
         2.0       0.72      0.72      0.72        50
         3.0       0.20      0.20      0.20         5

    accuracy                           0.66       100
   macro avg       0.55      0.55      0.55       100
weighted avg       0.66      0.66      0.66       100
"
594,0.47039514528418613,0.00032902276143431664,2.5426973620286355,"              precision    recall  f1-score   support

         0.0       0.69      0.52      0.59        21
         1.0       0.62      0.75      0.68        24
         2.0       0.74      0.70      0.72        50
         3.0       0.12      0.20      0.15         5

    accuracy                           0.65       100
   macro avg       0.54      0.54      0.54       100
weighted avg       0.67      0.65      0.66       100
"
660,0.47039514528418613,0.0007987193530425429,2.5793520372647505,"              precision    recall  f1-score   support

         0.0       0.69      0.52      0.59        21
         1.0       0.62      0.75      0.68        24
         2.0       0.74      0.70      0.72        50
         3.0       0.12      0.20      0.15         5

    accuracy                           0.65       100
   macro avg       0.54      0.54      0.54       100
weighted avg       0.67      0.65      0.66       100
"
