global_step,mcc,train_loss,eval_loss,classification_report
66,0.0,1.4281384944915771,1.1945675428097065,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.00      0.00      0.00        24
         2.0       0.50      1.00      0.67        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.50       100
   macro avg       0.12      0.25      0.17       100
weighted avg       0.25      0.50      0.33       100
"
132,0.0,0.8435343503952026,1.2174299496870775,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.00      0.00      0.00        24
         2.0       0.50      1.00      0.67        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.50       100
   macro avg       0.12      0.25      0.17       100
weighted avg       0.25      0.50      0.33       100
"
198,0.24637351134401386,0.9123944044113159,1.1559616189736586,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.55      0.46      0.50        24
         2.0       0.56      0.90      0.69        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.56       100
   macro avg       0.28      0.34      0.30       100
weighted avg       0.41      0.56      0.47       100
"
264,0.3823558358258224,1.0342957973480225,1.0200120760844305,"              precision    recall  f1-score   support

         0.0       0.50      0.52      0.51        21
         1.0       0.59      0.42      0.49        24
         2.0       0.67      0.82      0.74        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.62       100
   macro avg       0.44      0.44      0.43       100
weighted avg       0.58      0.62      0.59       100
"
330,0.30324858298471324,1.1670804023742676,1.2538690567016602,"              precision    recall  f1-score   support

         0.0       0.80      0.19      0.31        21
         1.0       0.38      1.00      0.55        24
         2.0       0.68      0.42      0.52        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.49       100
   macro avg       0.46      0.40      0.34       100
weighted avg       0.60      0.49      0.45       100
"
396,0.4321489915157665,1.9227750301361084,0.9640451073646545,"              precision    recall  f1-score   support

         0.0       0.73      0.38      0.50        21
         1.0       0.91      0.42      0.57        24
         2.0       0.60      0.94      0.73        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.65       100
   macro avg       0.56      0.43      0.45       100
weighted avg       0.67      0.65      0.61       100
"
462,0.43167469867838976,0.2609627842903137,1.0992927642968984,"              precision    recall  f1-score   support

         0.0       0.64      0.67      0.65        21
         1.0       0.50      0.67      0.57        24
         2.0       0.72      0.66      0.69        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.63       100
   macro avg       0.46      0.50      0.48       100
weighted avg       0.61      0.63      0.62       100
"
528,0.5068056080367943,0.4108859896659851,1.1276390162798076,"              precision    recall  f1-score   support

         0.0       0.59      0.76      0.67        21
         1.0       0.92      0.50      0.65        24
         2.0       0.68      0.82      0.75        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.69       100
   macro avg       0.55      0.52      0.52       100
weighted avg       0.69      0.69      0.67       100
"
594,0.4754633937680427,2.0898470878601074,1.362676256837753,"              precision    recall  f1-score   support

         0.0       0.55      0.76      0.64        21
         1.0       0.61      0.58      0.60        24
         2.0       0.75      0.72      0.73        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.66       100
   macro avg       0.48      0.52      0.49       100
weighted avg       0.64      0.66      0.64       100
"
660,0.42870433583337075,0.039664916694164276,1.4111094428942754,"              precision    recall  f1-score   support

         0.0       0.67      0.67      0.67        21
         1.0       0.54      0.58      0.56        24
         2.0       0.68      0.72      0.70        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.64       100
   macro avg       0.47      0.49      0.48       100
weighted avg       0.61      0.64      0.62       100
"
