global_step,mcc,train_loss,eval_loss,classification_report
66,0.0946241872390905,1.2824583053588867,1.3480939314915583,"              precision    recall  f1-score   support

         0.0       0.24      0.52      0.33        21
         1.0       0.31      0.71      0.43        24
         2.0       0.00      0.00      0.00        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.28       100
   macro avg       0.14      0.31      0.19       100
weighted avg       0.13      0.28      0.17       100
"
132,0.0,1.0699986219406128,1.2248401275047889,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.24      1.00      0.39        24
         2.0       0.00      0.00      0.00        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.24       100
   macro avg       0.06      0.25      0.10       100
weighted avg       0.06      0.24      0.09       100
"
198,0.0,1.5544724464416504,1.176275881437155,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.00      0.00      0.00        24
         2.0       0.50      1.00      0.67        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.50       100
   macro avg       0.12      0.25      0.17       100
weighted avg       0.25      0.50      0.33       100
"
264,0.0,1.1579071283340454,1.198809000161978,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.00      0.00      0.00        24
         2.0       0.50      1.00      0.67        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.50       100
   macro avg       0.12      0.25      0.17       100
weighted avg       0.25      0.50      0.33       100
"
330,0.0,1.0606226921081543,1.1881954945050752,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.00      0.00      0.00        24
         2.0       0.50      1.00      0.67        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.50       100
   macro avg       0.12      0.25      0.17       100
weighted avg       0.25      0.50      0.33       100
"
396,0.0,1.1134600639343262,1.1884275766519399,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.00      0.00      0.00        24
         2.0       0.50      1.00      0.67        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.50       100
   macro avg       0.12      0.25      0.17       100
weighted avg       0.25      0.50      0.33       100
"
462,0.0,1.3777183294296265,1.1821157657183134,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.00      0.00      0.00        24
         2.0       0.50      1.00      0.67        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.50       100
   macro avg       0.12      0.25      0.17       100
weighted avg       0.25      0.50      0.33       100
"
528,0.0,1.1937590837478638,1.1833682977236235,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.00      0.00      0.00        24
         2.0       0.50      1.00      0.67        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.50       100
   macro avg       0.12      0.25      0.17       100
weighted avg       0.25      0.50      0.33       100
"
594,0.0,1.0857294797897339,1.1879824583347027,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.00      0.00      0.00        24
         2.0       0.50      1.00      0.67        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.50       100
   macro avg       0.12      0.25      0.17       100
weighted avg       0.25      0.50      0.33       100
"
660,0.0,1.3201909065246582,1.1881896807597234,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        21
         1.0       0.00      0.00      0.00        24
         2.0       0.50      1.00      0.67        50
         3.0       0.00      0.00      0.00         5

    accuracy                           0.50       100
   macro avg       0.12      0.25      0.17       100
weighted avg       0.25      0.50      0.33       100
"
